epoch,phase,wall_time_s,epoch_time_s
0,adam,0.034219,0.034219
1,adam,0.052923,0.018704
2,adam,0.071153,0.018230
3,adam,0.089298,0.018145
4,adam,0.107366,0.018068
5,adam,0.125709,0.018344
6,adam,0.143790,0.018081
7,adam,0.161853,0.018063
8,adam,0.179968,0.018115
9,adam,0.198024,0.018056
10,adam,0.216273,0.018249
11,adam,0.234292,0.018019
12,adam,0.252837,0.018544
13,adam,0.270927,0.018090
14,adam,0.288877,0.017950
15,adam,0.307074,0.018198
16,adam,0.325125,0.018051
17,adam,0.343341,0.018216
18,adam,0.361336,0.017995
19,adam,0.379160,0.017823
20,adam,0.396969,0.017810
21,adam,0.414968,0.017998
22,adam,0.433100,0.018133
23,adam,0.451229,0.018128
24,adam,0.469450,0.018221
25,adam,0.487679,0.018229
26,adam,0.505654,0.017974
27,adam,0.523865,0.018212
28,adam,0.542006,0.018140
29,adam,0.559862,0.017856
30,adam,0.578067,0.018205
31,adam,0.596027,0.017960
32,adam,0.614173,0.018146
33,adam,0.632187,0.018014
34,adam,0.650358,0.018171
35,adam,0.668384,0.018027
36,adam,0.686466,0.018082
37,adam,0.704405,0.017939
38,adam,0.722576,0.018171
39,adam,0.740632,0.018056
40,adam,0.758876,0.018243
41,adam,0.776979,0.018103
42,adam,0.795119,0.018140
43,adam,0.813197,0.018078
44,adam,0.831435,0.018238
45,adam,0.849605,0.018170
46,adam,0.867864,0.018259
47,adam,0.886232,0.018368
48,adam,0.904173,0.017942
49,adam,0.922393,0.018220
50,adam,0.940378,0.017985
51,adam,0.958343,0.017965
52,adam,0.976481,0.018138
53,adam,0.994743,0.018263
54,adam,1.013023,0.018279
55,adam,1.031257,0.018234
56,adam,1.049334,0.018077
57,adam,1.067391,0.018056
58,adam,1.085541,0.018150
59,adam,1.103643,0.018102
60,adam,1.121815,0.018172
61,adam,1.139886,0.018071
62,adam,1.157759,0.017873
63,adam,1.176443,0.018685
64,adam,1.194510,0.018067
65,adam,1.212442,0.017932
66,adam,1.230505,0.018063
67,adam,1.248686,0.018182
68,adam,1.266872,0.018185
69,adam,1.285050,0.018178
70,adam,1.303025,0.017976
71,adam,1.321190,0.018165
