epoch,phase,wall_time_s,epoch_time_s
0,adam,0.017960,0.017960
1,adam,0.035170,0.017210
2,adam,0.054986,0.019817
3,adam,0.082864,0.027877
4,adam,0.100144,0.017280
5,adam,0.117231,0.017087
6,adam,0.134411,0.017180
7,adam,0.151407,0.016996
8,adam,0.168547,0.017141
9,adam,0.185697,0.017149
10,adam,0.202843,0.017146
11,adam,0.220187,0.017344
12,adam,0.237611,0.017424
13,adam,0.255537,0.017926
14,adam,0.272667,0.017130
15,adam,0.289875,0.017208
16,adam,0.306743,0.016868
17,adam,0.324001,0.017258
18,adam,0.341249,0.017248
19,adam,0.358936,0.017687
20,adam,0.376341,0.017405
21,adam,0.393813,0.017472
22,adam,0.411263,0.017450
23,adam,0.428353,0.017090
24,adam,0.445978,0.017625
25,adam,0.463408,0.017430
26,adam,0.481103,0.017695
27,adam,0.498660,0.017557
28,adam,0.516335,0.017675
29,adam,0.534065,0.017730
30,adam,0.551538,0.017473
31,adam,0.569102,0.017564
32,adam,0.586331,0.017229
33,adam,0.603870,0.017539
34,adam,0.621213,0.017344
35,adam,0.638669,0.017456
36,adam,0.655853,0.017184
37,adam,0.673341,0.017488
38,adam,0.691084,0.017744
39,adam,0.708527,0.017442
40,adam,0.726152,0.017626
41,adam,0.743421,0.017269
42,adam,0.760683,0.017262
43,adam,0.778173,0.017490
44,adam,0.795675,0.017503
45,adam,0.813351,0.017676
46,adam,0.831019,0.017668
47,adam,0.848240,0.017221
48,adam,0.865809,0.017569
49,adam,0.883206,0.017397
50,adam,0.900691,0.017485
51,adam,0.918299,0.017607
52,adam,0.935902,0.017604
53,adam,0.953484,0.017582
54,adam,0.971002,0.017517
55,adam,0.988344,0.017342
56,adam,1.005783,0.017439
57,adam,1.023273,0.017490
58,adam,1.041025,0.017752
59,adam,1.058632,0.017607
60,adam,1.076409,0.017777
61,adam,1.094130,0.017721
62,adam,1.111511,0.017381
63,adam,1.129130,0.017619
64,adam,1.146421,0.017291
65,adam,1.163992,0.017571
66,adam,1.181659,0.017667
67,adam,1.199171,0.017512
68,adam,1.216564,0.017393
69,adam,1.234026,0.017462
70,adam,1.251266,0.017240
71,adam,1.268876,0.017610
72,adam,1.286188,0.017312
73,adam,1.303799,0.017611
74,adam,1.321398,0.017599
75,adam,1.338945,0.017547
76,adam,1.356481,0.017536
77,adam,1.374325,0.017843
78,adam,1.391833,0.017509
79,adam,1.409228,0.017395
80,adam,1.426739,0.017511
81,adam,1.444214,0.017475
82,adam,1.461627,0.017413
83,adam,1.479416,0.017789
84,adam,1.499614,0.020198
85,adam,1.517019,0.017405
86,adam,1.533995,0.016977
87,adam,1.549958,0.015963
88,adam,1.565695,0.015736
89,adam,1.582322,0.016627
90,adam,1.598557,0.016236
91,adam,1.614159,0.015602
92,adam,1.630083,0.015924
93,adam,1.645693,0.015610
94,adam,1.661516,0.015823
95,adam,1.677374,0.015858
96,adam,1.693756,0.016382
97,adam,1.710318,0.016563
98,adam,1.726431,0.016112
99,adam,1.742304,0.015873
100,adam,1.758302,0.015999
101,adam,1.774076,0.015773
102,adam,1.790035,0.015960
103,adam,1.806250,0.016215
104,adam,1.822790,0.016540
105,adam,1.839890,0.017101
106,adam,1.857361,0.017471
107,adam,1.874191,0.016830
108,adam,1.891356,0.017165
109,adam,1.908221,0.016866
110,adam,1.925739,0.017518
111,adam,1.946744,0.021005
112,adam,1.965733,0.018989
113,adam,1.981893,0.016160
114,adam,1.998204,0.016311
115,adam,2.014470,0.016267
116,adam,2.030803,0.016332
117,adam,2.046626,0.015823
118,adam,2.062454,0.015827
119,adam,2.078805,0.016351
120,adam,2.095152,0.016347
121,adam,2.111021,0.015869
122,adam,2.126929,0.015908
123,adam,2.143155,0.016226
124,adam,2.159227,0.016072
125,adam,2.175260,0.016033
126,adam,2.191600,0.016340
127,adam,2.207769,0.016169
128,adam,2.223839,0.016070
129,adam,2.239850,0.016012
130,adam,2.255777,0.015927
131,adam,2.272092,0.016315
132,adam,2.288453,0.016361
133,adam,2.305029,0.016576
134,adam,2.321255,0.016226
135,adam,2.337406,0.016151
136,adam,2.353618,0.016212
137,adam,2.369906,0.016287
138,adam,2.386259,0.016353
139,adam,2.402418,0.016160
140,adam,2.418898,0.016480
141,adam,2.434972,0.016074
142,adam,2.451028,0.016056
143,adam,2.467016,0.015988
144,adam,2.482773,0.015757
145,adam,2.498824,0.016051
146,adam,2.515293,0.016469
147,adam,2.531216,0.015923
148,adam,2.547344,0.016128
149,adam,2.563503,0.016158
150,adam,2.579743,0.016240
151,adam,2.595862,0.016119
152,adam,2.611838,0.015976
153,adam,2.628194,0.016356
154,adam,2.644124,0.015930
155,adam,2.660468,0.016344
156,adam,2.676680,0.016211
157,adam,2.692768,0.016088
158,adam,2.708807,0.016039
159,adam,2.724937,0.016130
160,adam,2.741224,0.016287
