epoch,phase,wall_time_s,epoch_time_s
0,adam,0.111950,0.111950
1,adam,0.129169,0.017219
2,adam,0.144929,0.015761
3,adam,0.171297,0.026367
4,adam,0.187659,0.016362
5,adam,0.203838,0.016179
6,adam,0.219576,0.015739
7,adam,0.235015,0.015439
8,adam,0.250517,0.015502
9,adam,0.267166,0.016649
10,adam,0.283228,0.016062
11,adam,0.298605,0.015377
12,adam,0.313720,0.015115
13,adam,0.329047,0.015327
14,adam,0.344412,0.015365
15,adam,0.360769,0.016357
16,adam,0.376837,0.016068
17,adam,0.392661,0.015824
18,adam,0.408285,0.015624
19,adam,0.424504,0.016219
20,adam,0.440623,0.016119
21,adam,0.456165,0.015543
22,adam,0.471422,0.015257
23,adam,0.498541,0.027119
24,adam,0.514108,0.015568
25,adam,0.529210,0.015102
26,adam,0.544316,0.015106
27,adam,0.571794,0.027478
28,adam,0.587418,0.015624
29,adam,0.613930,0.026512
30,adam,0.629358,0.015428
31,adam,0.646109,0.016751
32,adam,0.662079,0.015970
33,adam,0.677248,0.015169
34,adam,0.692355,0.015107
35,adam,0.707533,0.015178
36,adam,0.722646,0.015113
37,adam,0.739575,0.016929
38,adam,0.755156,0.015581
39,adam,0.770218,0.015062
40,adam,0.785398,0.015180
41,adam,0.800546,0.015148
42,adam,0.815737,0.015192
43,adam,0.831411,0.015673
44,adam,0.847235,0.015824
45,adam,0.863539,0.016304
46,adam,0.880390,0.016851
47,adam,0.896412,0.016022
48,adam,0.926756,0.030344
49,adam,0.954098,0.027342
50,adam,0.969938,0.015840
51,adam,0.985605,0.015666
52,adam,1.001802,0.016198
53,adam,1.017919,0.016117
54,adam,1.033597,0.015677
55,adam,1.050632,0.017035
56,adam,1.066746,0.016114
57,adam,1.090020,0.023274
58,adam,1.141239,0.051219
59,adam,1.157536,0.016296
60,adam,1.173625,0.016090
61,adam,1.189562,0.015937
62,adam,1.205088,0.015526
63,adam,1.220465,0.015377
64,adam,1.235880,0.015415
65,adam,1.251243,0.015363
66,adam,1.266703,0.015459
67,adam,1.296845,0.030143
68,adam,1.312440,0.015594
69,adam,1.327795,0.015356
70,adam,1.356220,0.028424
71,adam,1.372497,0.016277
72,adam,1.388189,0.015692
73,adam,1.403665,0.015476
74,adam,1.419127,0.015462
75,adam,1.436022,0.016895
76,adam,1.452115,0.016093
77,adam,1.467345,0.015230
78,adam,1.482992,0.015647
79,adam,1.498219,0.015228
80,adam,1.513477,0.015258
81,adam,1.528744,0.015267
82,adam,1.544134,0.015390
83,adam,1.559431,0.015297
84,adam,1.574605,0.015173
85,adam,1.603799,0.029194
86,adam,1.619291,0.015493
87,adam,1.635588,0.016296
88,adam,1.664912,0.029324
89,adam,1.680722,0.015810
90,adam,1.696212,0.015490
91,adam,1.726942,0.030730
92,adam,1.753953,0.027011
93,adam,1.769928,0.015975
94,adam,1.785431,0.015503
95,adam,1.801058,0.015627
96,adam,1.816605,0.015547
97,adam,1.832190,0.015585
98,adam,1.849669,0.017479
99,adam,1.865408,0.015739
100,adam,1.880898,0.015490
101,adam,1.896363,0.015464
102,adam,1.911765,0.015402
103,adam,1.927196,0.015431
104,adam,1.942566,0.015370
105,adam,1.957939,0.015373
106,adam,1.973263,0.015324
107,adam,1.988603,0.015340
108,adam,2.004008,0.015405
109,adam,2.019395,0.015387
110,adam,2.034705,0.015310
111,adam,2.050043,0.015339
112,adam,2.065467,0.015424
113,adam,2.081335,0.015868
114,adam,2.098217,0.016881
115,adam,2.113971,0.015754
116,adam,2.129483,0.015512
117,adam,2.159653,0.030170
118,adam,2.175413,0.015759
119,adam,2.190661,0.015248
120,adam,2.206001,0.015340
121,adam,2.221410,0.015409
122,adam,2.238709,0.017299
123,adam,2.254402,0.015694
124,adam,2.284008,0.029606
125,adam,2.299442,0.015434
126,adam,2.315145,0.015703
127,adam,2.330596,0.015451
128,adam,2.346532,0.015936
129,adam,2.362249,0.015717
130,adam,2.396305,0.034056
131,adam,2.411831,0.015526
132,adam,2.428145,0.016313
133,adam,2.443960,0.015815
134,adam,2.460822,0.016862
135,adam,2.476543,0.015721
136,adam,2.492158,0.015615
137,adam,2.507891,0.015733
138,adam,2.523269,0.015378
139,adam,2.557223,0.033954
140,adam,2.573263,0.016040
141,adam,2.589030,0.015767
142,adam,2.604724,0.015694
143,adam,2.620202,0.015478
144,adam,2.635701,0.015498
145,adam,2.652541,0.016840
146,adam,2.668306,0.015765
147,adam,2.683967,0.015661
148,adam,2.699413,0.015446
149,adam,2.715054,0.015641
150,adam,2.730766,0.015712
151,adam,2.747532,0.016766
152,adam,2.763698,0.016166
153,adam,2.799303,0.035605
154,adam,2.831235,0.031932
155,adam,2.846874,0.015639
156,adam,2.880546,0.033673
157,adam,2.896313,0.015767
158,adam,2.911858,0.015544
159,adam,2.945525,0.033667
160,adam,2.961700,0.016175
161,adam,2.977683,0.015983
162,adam,2.993142,0.015459
163,adam,3.008636,0.015494
164,adam,3.024037,0.015401
165,adam,3.041650,0.017614
166,adam,3.057341,0.015690
167,adam,3.072962,0.015621
168,adam,3.120268,0.047306
169,adam,3.152598,0.032330
170,adam,3.168383,0.015785
171,adam,3.197307,0.028923
172,adam,3.213668,0.016361
173,adam,3.229658,0.015991
174,adam,3.246296,0.016637
175,adam,3.262319,0.016023
176,adam,3.279453,0.017134
177,adam,3.296155,0.016702
178,adam,3.330449,0.034294
179,adam,3.346343,0.015893
180,adam,3.361681,0.015338
181,adam,3.377038,0.015357
182,adam,3.392760,0.015723
183,adam,3.408354,0.015594
184,adam,3.423771,0.015417
185,adam,3.439214,0.015443
186,adam,3.454650,0.015436
187,adam,3.470062,0.015412
188,adam,3.485498,0.015436
189,adam,3.500874,0.015376
190,adam,3.516431,0.015557
191,adam,3.531753,0.015322
192,adam,3.547224,0.015470
193,adam,3.562586,0.015363
194,adam,3.578041,0.015455
195,adam,3.593584,0.015543
196,adam,3.608945,0.015361
197,adam,3.624347,0.015402
198,adam,3.641737,0.017390
199,adam,3.657508,0.015771
200,adam,3.692066,0.034559
201,adam,3.707583,0.015516
202,adam,3.723050,0.015467
203,adam,3.738275,0.015226
204,adam,3.755524,0.017248
205,adam,3.788816,0.033292
206,adam,3.804701,0.015885
207,adam,3.820203,0.015502
208,adam,3.835822,0.015619
209,adam,3.869056,0.033233
210,adam,3.885164,0.016108
211,adam,3.901173,0.016009
212,adam,3.916720,0.015547
213,adam,3.932274,0.015554
214,adam,3.948040,0.015765
215,adam,3.964007,0.015968
216,adam,3.980569,0.016562
217,adam,3.996793,0.016224
218,adam,4.012612,0.015819
219,adam,4.029564,0.016952
220,adam,4.045771,0.016208
221,adam,4.061588,0.015816
222,adam,4.077246,0.015659
223,adam,4.092978,0.015731
224,adam,4.122458,0.029481
225,adam,4.138030,0.015571
226,adam,4.153525,0.015495
227,adam,4.169334,0.015810
228,adam,4.184691,0.015356
229,adam,4.200369,0.015679
230,adam,4.215793,0.015423
231,adam,4.250499,0.034706
232,adam,4.266411,0.015911
233,adam,4.281996,0.015586
234,adam,4.298991,0.016995
235,adam,4.314608,0.015617
236,adam,4.329958,0.015350
237,adam,4.364002,0.034044
238,adam,4.379614,0.015612
239,adam,4.395161,0.015547
240,adam,4.410407,0.015246
241,adam,4.426600,0.016193
242,adam,4.460304,0.033704
243,adam,4.475954,0.015650
244,adam,4.491503,0.015549
245,adam,4.507182,0.015679
246,adam,4.522774,0.015592
247,adam,4.538123,0.015349
248,adam,4.555314,0.017191
249,adam,4.584833,0.029519
250,adam,4.607684,0.022852
251,adam,4.623385,0.015701
252,adam,4.639168,0.015783
253,adam,4.654554,0.015386
254,adam,4.670103,0.015549
255,adam,4.685663,0.015560
256,adam,4.700983,0.015320
257,adam,4.716359,0.015376
258,adam,4.731673,0.015314
259,adam,4.746729,0.015056
260,adam,4.762909,0.016181
261,adam,4.778669,0.015760
262,adam,4.794032,0.015362
263,adam,4.809297,0.015265
264,adam,4.824605,0.015308
265,adam,4.840004,0.015399
266,adam,4.855307,0.015303
267,adam,4.870512,0.015205
268,adam,4.885873,0.015362
269,adam,4.901181,0.015308
270,adam,4.916538,0.015357
271,adam,4.931820,0.015282
272,adam,4.947264,0.015444
273,adam,4.962687,0.015423
274,adam,4.980096,0.017409
275,adam,4.995808,0.015712
276,adam,5.012491,0.016683
277,adam,5.028380,0.015888
278,adam,5.058171,0.029792
279,adam,5.074102,0.015931
280,adam,5.104213,0.030111
281,adam,5.120000,0.015787
282,adam,5.165284,0.045284
283,adam,5.183573,0.018289
284,adam,5.198558,0.014985
285,adam,5.213341,0.014783
286,adam,5.228275,0.014934
287,adam,5.243005,0.014730
288,adam,5.257771,0.014766
289,adam,5.286337,0.028566
290,adam,5.301468,0.015131
291,adam,5.316395,0.014926
292,adam,5.348544,0.032149
293,adam,5.363708,0.015164
294,adam,5.378943,0.015235
295,adam,5.393645,0.014702
296,adam,5.408546,0.014901
297,adam,5.423547,0.015001
298,adam,5.438350,0.014803
299,adam,5.452983,0.014633
300,adam,5.477910,0.024927
301,adam,5.493107,0.015196
302,adam,5.507871,0.014764
303,adam,5.522823,0.014952
304,adam,5.537646,0.014823
305,adam,5.552404,0.014758
306,adam,5.568582,0.016178
307,adam,5.585221,0.016639
308,adam,5.601009,0.015788
309,adam,5.616777,0.015768
310,adam,5.632627,0.015851
311,adam,5.648693,0.016066
312,adam,5.664433,0.015740
313,adam,5.680216,0.015783
314,adam,5.696065,0.015849
315,adam,5.711810,0.015745
316,adam,5.727626,0.015816
317,adam,5.743201,0.015575
318,adam,5.759067,0.015867
319,adam,5.774611,0.015544
320,adam,5.790251,0.015639
321,adam,5.806082,0.015831
322,adam,5.821968,0.015885
323,adam,5.837459,0.015491
324,adam,5.853120,0.015662
325,adam,5.868766,0.015645
326,adam,5.884441,0.015675
327,adam,5.900256,0.015815
328,adam,5.915842,0.015587
329,adam,5.936089,0.020246
330,adam,5.951789,0.015701
331,adam,5.967282,0.015493
332,adam,5.982749,0.015467
333,adam,5.998755,0.016006
334,adam,6.014502,0.015747
335,adam,6.030106,0.015604
336,adam,6.045652,0.015546
337,adam,6.061226,0.015574
338,adam,6.076669,0.015443
339,adam,6.092185,0.015516
340,adam,6.107594,0.015409
341,adam,6.123119,0.015525
342,adam,6.157539,0.034420
343,adam,6.173309,0.015770
344,adam,6.188796,0.015487
345,adam,6.204160,0.015364
346,adam,6.220333,0.016172
347,adam,6.246876,0.026543
348,adam,6.270852,0.023977
349,adam,6.286582,0.015729
350,adam,6.301976,0.015395
351,adam,6.317450,0.015473
352,adam,6.332793,0.015344
353,adam,6.348247,0.015453
354,adam,6.363621,0.015375
