epoch,phase,wall_time_s,epoch_time_s
0,adam,0.027698,0.027698
1,adam,0.061247,0.033550
2,adam,0.077299,0.016051
3,adam,0.093210,0.015911
4,adam,0.108721,0.015511
5,adam,0.124454,0.015732
6,adam,0.140005,0.015552
7,adam,0.155833,0.015828
8,adam,0.171933,0.016100
9,adam,0.187734,0.015801
10,adam,0.203512,0.015778
11,adam,0.219472,0.015960
12,adam,0.254361,0.034889
13,adam,0.270167,0.015806
14,adam,0.287199,0.017031
15,adam,0.303300,0.016101
16,adam,0.318797,0.015497
17,adam,0.334359,0.015562
18,adam,0.350741,0.016382
19,adam,0.367390,0.016649
20,adam,0.383766,0.016377
21,adam,0.400209,0.016443
22,adam,0.416395,0.016186
23,adam,0.432783,0.016388
24,adam,0.449264,0.016481
25,adam,0.466653,0.017389
26,adam,0.482740,0.016088
27,adam,0.500915,0.018175
28,adam,0.517235,0.016320
29,adam,0.533142,0.015908
30,adam,0.562582,0.029440
31,adam,0.579091,0.016508
32,adam,0.595055,0.015965
33,adam,0.610941,0.015885
34,adam,0.626501,0.015560
35,adam,0.642179,0.015678
36,adam,0.657699,0.015520
37,adam,0.673492,0.015793
38,adam,0.702760,0.029268
39,adam,0.719093,0.016334
40,adam,0.734877,0.015784
41,adam,0.759864,0.024987
42,adam,0.776335,0.016471
43,adam,0.792175,0.015840
44,adam,0.809367,0.017192
45,adam,0.825498,0.016131
46,adam,0.841603,0.016106
47,adam,0.857221,0.015618
48,adam,0.872850,0.015629
49,adam,0.888530,0.015681
50,adam,0.904067,0.015537
51,adam,0.920923,0.016856
52,adam,0.936899,0.015976
53,adam,0.952585,0.015686
54,adam,0.971117,0.018532
55,adam,0.987102,0.015985
56,adam,1.002748,0.015646
57,adam,1.030508,0.027760
58,adam,1.046441,0.015933
59,adam,1.062414,0.015974
60,adam,1.091364,0.028949
61,adam,1.107742,0.016378
62,adam,1.136906,0.029164
63,adam,1.152987,0.016081
64,adam,1.168830,0.015843
65,adam,1.184733,0.015903
66,adam,1.202650,0.017916
67,adam,1.218751,0.016102
68,adam,1.234533,0.015781
69,adam,1.261721,0.027189
70,adam,1.277581,0.015860
71,adam,1.293327,0.015745
72,adam,1.308899,0.015572
73,adam,1.324600,0.015701
74,adam,1.341809,0.017209
75,adam,1.357933,0.016124
76,adam,1.391856,0.033923
77,adam,1.407734,0.015878
78,adam,1.423846,0.016112
79,adam,1.439821,0.015976
80,adam,1.455685,0.015864
81,adam,1.471324,0.015639
82,adam,1.489022,0.017698
83,adam,1.505044,0.016022
84,adam,1.539687,0.034644
85,adam,1.555598,0.015910
86,adam,1.571355,0.015758
87,adam,1.589466,0.018111
88,adam,1.606457,0.016991
89,adam,1.623516,0.017059
90,adam,1.639921,0.016405
91,adam,1.655656,0.015735
92,adam,1.671326,0.015671
93,adam,1.688896,0.017570
94,adam,1.704859,0.015963
95,adam,1.721793,0.016934
96,adam,1.737805,0.016012
97,adam,1.753248,0.015443
98,adam,1.768881,0.015633
99,adam,1.784720,0.015838
100,adam,1.800265,0.015546
101,adam,1.815948,0.015683
102,adam,1.831625,0.015676
103,adam,1.860185,0.028561
104,adam,1.876397,0.016212
105,adam,1.892484,0.016087
106,adam,1.908219,0.015735
107,adam,1.923942,0.015723
108,adam,1.939877,0.015935
109,adam,1.955538,0.015660
110,adam,1.971368,0.015830
111,adam,1.986886,0.015518
112,adam,2.002463,0.015577
113,adam,2.018725,0.016263
114,adam,2.034638,0.015912
115,adam,2.063922,0.029284
116,adam,2.080694,0.016773
117,adam,2.096696,0.016002
118,adam,2.112431,0.015735
119,adam,2.129687,0.017257
120,adam,2.159242,0.029555
121,adam,2.174989,0.015747
122,adam,2.190828,0.015839
123,adam,2.206406,0.015578
124,adam,2.222101,0.015695
125,adam,2.237818,0.015717
126,adam,2.255484,0.017666
127,adam,2.271751,0.016267
128,adam,2.287770,0.016019
129,adam,2.303532,0.015762
130,adam,2.319209,0.015677
131,adam,2.337531,0.018322
132,adam,2.353484,0.015953
133,adam,2.369277,0.015793
134,adam,2.385411,0.016134
135,adam,2.401612,0.016201
136,adam,2.419416,0.017804
137,adam,2.435812,0.016396
138,adam,2.451807,0.015995
139,adam,2.467412,0.015605
140,adam,2.483072,0.015659
141,adam,2.498792,0.015720
142,adam,2.514401,0.015609
143,adam,2.529982,0.015582
144,adam,2.545733,0.015750
145,adam,2.561280,0.015547
146,adam,2.578175,0.016895
147,adam,2.594689,0.016514
148,adam,2.610878,0.016189
149,adam,2.626663,0.015785
150,adam,2.642529,0.015866
151,adam,2.657986,0.015457
152,adam,2.673582,0.015596
153,adam,2.707996,0.034414
154,adam,2.723864,0.015868
155,adam,2.739934,0.016069
156,adam,2.755828,0.015894
157,adam,2.771453,0.015626
158,adam,2.788090,0.016636
159,adam,2.804994,0.016904
160,adam,2.820897,0.015903
161,adam,2.837793,0.016896
162,adam,2.854657,0.016864
