epoch,phase,wall_time_s,epoch_time_s
0,adam,0.019591,0.01959
1,adam,0.039308,0.019717
2,adam,0.058414,0.019106
3,adam,0.077167,0.018754
4,adam,0.097465,0.020297
5,adam,0.119562,0.022098
6,adam,0.138633,0.019071
7,adam,0.157315,0.018682
8,adam,0.176718,0.019404
9,adam,0.195415,0.018696
10,adam,0.214408,0.018994
11,adam,0.233447,0.019039
12,adam,0.252025,0.018578
13,adam,0.270622,0.018598
14,adam,0.289017,0.018395
15,adam,0.307746,0.018728
16,adam,0.326122,0.018376
17,adam,0.344721,0.0186
18,adam,0.362926,0.018205
19,adam,0.381874,0.018947
20,adam,0.401004,0.01913
21,adam,0.419544,0.01854
22,adam,0.437984,0.01844
23,adam,0.456383,0.0184
24,adam,0.474813,0.018429
25,adam,0.494381,0.019568
26,adam,0.514634,0.020253
27,adam,0.533238,0.018603
28,adam,0.553108,0.019871
29,adam,0.571958,0.018849
30,adam,0.590275,0.018317
31,adam,0.608813,0.018538
32,adam,0.62727,0.018458
33,adam,0.645291,0.018021
34,adam,0.663809,0.018518
35,adam,0.682222,0.018413
36,adam,0.700166,0.017945
37,adam,0.718298,0.018132
38,adam,0.736231,0.017933
39,adam,0.75478,0.018549
40,adam,0.773308,0.018528
41,adam,0.79192,0.018612
42,adam,0.810294,0.018373
43,adam,0.828247,0.017953
44,adam,0.846724,0.018477
45,adam,0.865101,0.018377
46,adam,0.884167,0.019066
47,adam,0.903431,0.019264
48,adam,0.921944,0.018513
49,adam,0.94132,0.019376
50,adam,0.959616,0.018296
51,adam,0.978259,0.018643
52,adam,1.017771,0.039512
53,adam,1.039175,0.021405
54,adam,1.057986,0.018811
55,adam,1.076452,0.018466
56,adam,1.094499,0.018047
57,adam,1.112531,0.018032
58,adam,1.130787,0.018256
59,adam,1.148733,0.017946
60,adam,1.167082,0.018348
61,adam,1.185343,0.018261
62,adam,1.203206,0.017864
63,adam,1.221346,0.018139
64,adam,1.239517,0.018171
65,adam,1.257472,0.017956
66,adam,1.275599,0.018127
67,adam,1.294385,0.018786
68,adam,1.312289,0.017904
69,adam,1.330399,0.018109
70,adam,1.348257,0.017859
71,adam,1.369039,0.020782
72,adam,1.388284,0.019245
73,adam,1.406617,0.018333
74,adam,1.425937,0.01932
75,adam,1.444631,0.018693
76,adam,1.464198,0.019567
77,adam,1.483011,0.018813
78,adam,1.50139,0.018378
79,adam,1.519871,0.018481
80,adam,1.539083,0.019212
81,adam,1.55765,0.018567
82,adam,1.576238,0.018588
83,adam,1.594724,0.018486
84,adam,1.612995,0.018271
