epoch,phase,wall_time_s,epoch_time_s
0,adam,0.037116,0.037116
1,adam,0.057621,0.020505
2,adam,0.080824,0.023203
3,adam,0.106245,0.025421
4,adam,0.134398,0.028153
5,adam,0.153305,0.018907
6,adam,0.17936,0.026055
7,adam,0.205095,0.025735
8,adam,0.224342,0.019247
9,adam,0.24269,0.018348
10,adam,0.260803,0.018112
11,adam,0.278814,0.018011
12,adam,0.296912,0.018098
13,adam,0.31523,0.018318
14,adam,0.333239,0.018009
15,adam,0.351437,0.018198
16,adam,0.36952,0.018083
17,adam,0.387433,0.017913
18,adam,0.405493,0.01806
19,adam,0.423619,0.018126
20,adam,0.441721,0.018102
21,adam,0.460865,0.019144
22,adam,0.479316,0.018452
23,adam,0.497519,0.018203
24,adam,0.515636,0.018117
25,adam,0.533683,0.018048
26,adam,0.551708,0.018025
27,adam,0.569943,0.018235
28,adam,0.587775,0.017832
29,adam,0.605736,0.017961
30,adam,0.63813,0.032393
31,adam,0.661176,0.023046
32,adam,0.679983,0.018806
33,adam,0.698237,0.018254
34,adam,0.716092,0.017855
35,adam,0.734119,0.018027
36,adam,0.752205,0.018086
37,adam,0.771277,0.019072
38,adam,0.78954,0.018263
39,adam,0.807765,0.018226
40,adam,0.825897,0.018132
41,adam,0.844085,0.018188
42,adam,0.863795,0.019709
43,adam,0.881954,0.01816
44,adam,0.903319,0.021365
45,adam,0.925994,0.022675
46,adam,0.945349,0.019354
47,adam,0.961699,0.016351
48,adam,0.977879,0.016179
49,adam,0.993843,0.015965
50,adam,1.009905,0.016062
51,adam,1.025936,0.016031
52,adam,1.042187,0.016251
53,adam,1.058557,0.01637
54,adam,1.07463,0.016072
55,adam,1.090623,0.015993
56,adam,1.106664,0.016042
57,adam,1.122643,0.015979
58,adam,1.138838,0.016194
59,adam,1.15471,0.015872
60,adam,1.170631,0.015922
61,adam,1.186685,0.016053
62,adam,1.202772,0.016088
63,adam,1.218888,0.016115
64,adam,1.234903,0.016016
65,adam,1.251015,0.016111
66,adam,1.266932,0.015917
67,adam,1.283019,0.016087
68,adam,1.298879,0.01586
69,adam,1.315628,0.016749
70,adam,1.332975,0.017347
71,adam,1.349373,0.016398
72,adam,1.36522,0.015847
73,adam,1.381078,0.015858
74,adam,1.397049,0.015971
75,adam,1.41301,0.015961
76,adam,1.428863,0.015853
77,adam,1.444638,0.015775
78,adam,1.460658,0.016019
79,adam,1.476574,0.015916
80,adam,1.492552,0.015978
81,adam,1.508741,0.016189
82,adam,1.524694,0.015953
83,adam,1.540644,0.015949
84,adam,1.556585,0.015941
85,adam,1.572726,0.016141
86,adam,1.58867,0.015944
87,adam,1.604702,0.016032
88,adam,1.62079,0.016088
89,adam,1.636957,0.016166
90,adam,1.655568,0.018611
91,adam,1.673197,0.017628
92,adam,1.689833,0.016636
93,adam,1.707073,0.017241
94,adam,1.724775,0.017702
95,adam,1.741061,0.016286
96,adam,1.75703,0.015969
97,adam,1.773097,0.016067
98,adam,1.789312,0.016215
99,adam,1.805411,0.016099
100,adam,1.821423,0.016012
101,adam,1.837788,0.016365
102,adam,1.853441,0.015653
103,adam,1.869584,0.016143
104,adam,1.885615,0.016031
105,adam,1.901696,0.016081
106,adam,1.920233,0.018538
107,adam,1.9385,0.018267
108,adam,1.964181,0.025681
109,adam,1.993996,0.029815
110,adam,2.012831,0.018835
111,adam,2.028994,0.016163
112,adam,2.044904,0.01591
113,adam,2.062188,0.017283
114,adam,2.077912,0.015724
115,adam,2.09377,0.015859
116,adam,2.109595,0.015825
117,adam,2.126421,0.016826
118,adam,2.144169,0.017748
119,adam,2.160063,0.015894
120,adam,2.175934,0.015871
121,adam,2.192056,0.016122
122,adam,2.21005,0.017994
123,adam,2.227439,0.017388
124,adam,2.243901,0.016463
125,adam,2.259629,0.015728
126,adam,2.275333,0.015704
127,adam,2.291239,0.015906
128,adam,2.306993,0.015754
