epoch,phase,wall_time_s,epoch_time_s
0,adam,0.016622,0.016622
1,adam,0.032437,0.015815
2,adam,0.047968,0.015531
3,adam,0.063465,0.015497
4,adam,0.078917,0.015452
5,adam,0.095149,0.016232
6,adam,0.110783,0.015634
7,adam,0.126483,0.0157
8,adam,0.142052,0.015569
9,adam,0.157565,0.015513
10,adam,0.172983,0.015418
11,adam,0.188465,0.015482
12,adam,0.204023,0.015558
13,adam,0.219624,0.0156
14,adam,0.235459,0.015836
15,adam,0.250985,0.015526
16,adam,0.266719,0.015734
17,adam,0.282581,0.015861
18,adam,0.298261,0.01568
19,adam,0.313757,0.015497
20,adam,0.32936,0.015603
21,adam,0.345104,0.015743
22,adam,0.360704,0.0156
23,adam,0.376311,0.015607
24,adam,0.391973,0.015662
25,adam,0.407681,0.015708
26,adam,0.424577,0.016896
27,adam,0.440395,0.015818
28,adam,0.455913,0.015517
29,adam,0.471621,0.015708
30,adam,0.487099,0.015478
31,adam,0.503045,0.015946
32,adam,0.518641,0.015596
33,adam,0.534271,0.01563
34,adam,0.549769,0.015497
35,adam,0.565367,0.015599
36,adam,0.580965,0.015598
37,adam,0.596574,0.015609
38,adam,0.612181,0.015607
39,adam,0.627906,0.015725
40,adam,0.643935,0.01603
41,adam,0.659488,0.015553
42,adam,0.674952,0.015464
43,adam,0.691339,0.016388
44,adam,0.707518,0.016179
45,adam,0.724001,0.016483
46,adam,0.739844,0.015843
47,adam,0.755576,0.015732
48,adam,0.771215,0.01564
49,adam,0.78679,0.015575
50,adam,0.802329,0.015539
51,adam,0.817813,0.015484
52,adam,0.83335,0.015536
53,adam,0.84897,0.01562
54,adam,0.864529,0.01556
55,adam,0.879965,0.015435
56,adam,0.895458,0.015494
57,adam,0.911011,0.015553
58,adam,0.926504,0.015493
59,adam,0.942023,0.015518
60,adam,0.957758,0.015736
61,adam,0.973461,0.015702
62,adam,0.989,0.015539
63,adam,1.004575,0.015576
64,adam,1.020452,0.015877
65,adam,1.037261,0.016809
66,adam,1.056777,0.019517
67,adam,1.07374,0.016963
68,adam,1.089523,0.015782
69,adam,1.105099,0.015577
70,adam,1.120517,0.015417
71,adam,1.136017,0.0155
72,adam,1.151711,0.015695
73,adam,1.167247,0.015535
74,adam,1.182912,0.015665
75,adam,1.198333,0.015422
76,adam,1.213802,0.015469
77,adam,1.229198,0.015396
78,adam,1.244872,0.015674
79,adam,1.260609,0.015737
80,adam,1.276205,0.015596
81,adam,1.291943,0.015738
82,adam,1.307571,0.015629
83,adam,1.323043,0.015472
84,adam,1.338755,0.015712
85,adam,1.354383,0.015628
86,adam,1.37054,0.016158
87,adam,1.386344,0.015804
88,adam,1.402002,0.015657
89,adam,1.417514,0.015512
90,adam,1.4329,0.015387
91,adam,1.448545,0.015645
92,adam,1.46391,0.015365
93,adam,1.479405,0.015495
94,adam,1.495108,0.015703
95,adam,1.51075,0.015642
96,adam,1.526351,0.015601
97,adam,1.541955,0.015604
98,adam,1.557479,0.015523
99,adam,1.573245,0.015766
100,adam,1.588733,0.015489
101,adam,1.604492,0.015759
102,adam,1.620885,0.016393
103,adam,1.636582,0.015697
104,adam,1.65199,0.015408
105,adam,1.667527,0.015538
106,adam,1.683391,0.015864
107,adam,1.699008,0.015617
108,adam,1.714642,0.015634
