epoch,phase,wall_time_s,epoch_time_s
0,adam,0.145552,0.145552
1,adam,0.174431,0.028879
2,adam,0.212892,0.03846
3,adam,0.272752,0.05986
4,adam,0.30351,0.030758
5,adam,0.325546,0.022036
6,adam,0.347768,0.022223
7,adam,0.390063,0.042295
8,adam,0.415349,0.025286
9,adam,0.443851,0.028502
10,adam,0.46992,0.026069
11,adam,0.511853,0.041932
12,adam,0.539453,0.027601
13,adam,0.575686,0.036232
14,adam,0.594459,0.018773
15,adam,0.612846,0.018388
16,adam,0.631546,0.0187
17,adam,0.650195,0.018649
18,adam,0.67126,0.021065
19,adam,0.689233,0.017973
20,adam,0.71289,0.023657
21,adam,0.735402,0.022512
22,adam,0.754249,0.018847
23,adam,0.772903,0.018654
24,adam,0.792587,0.019684
25,adam,0.812794,0.020207
26,adam,0.83139,0.018596
27,adam,0.850256,0.018866
28,adam,0.868792,0.018536
29,adam,0.887414,0.018622
30,adam,0.906151,0.018737
31,adam,0.924747,0.018596
32,adam,0.943488,0.01874
33,adam,0.962073,0.018585
34,adam,0.980773,0.0187
35,adam,0.999592,0.018819
36,adam,1.018498,0.018907
37,adam,1.037286,0.018787
38,adam,1.065159,0.027874
39,adam,1.084268,0.019109
40,adam,1.103323,0.019054
41,adam,1.121889,0.018566
42,adam,1.140653,0.018764
43,adam,1.159596,0.018943
44,adam,1.179046,0.019449
45,adam,1.198539,0.019493
46,adam,1.217212,0.018674
47,adam,1.23593,0.018718
48,adam,1.255991,0.020061
49,adam,1.276012,0.020021
50,adam,1.295627,0.019615
51,adam,1.314771,0.019144
52,adam,1.333598,0.018827
53,adam,1.352924,0.019326
54,adam,1.373333,0.020409
55,adam,1.392534,0.019202
56,adam,1.411503,0.018969
57,adam,1.431708,0.020205
58,adam,1.451035,0.019327
59,adam,1.47119,0.020155
60,adam,1.490575,0.019385
61,adam,1.511563,0.020988
62,adam,1.530601,0.019037
63,adam,1.549348,0.018748
64,adam,1.56827,0.018922
65,adam,1.589464,0.021194
66,adam,1.609691,0.020227
67,adam,1.628115,0.018424
68,adam,1.646517,0.018401
69,adam,1.665039,0.018522
70,adam,1.683547,0.018508
71,adam,1.702662,0.019114
72,adam,1.721287,0.018626
73,adam,1.740833,0.019546
74,adam,1.760121,0.019288
75,adam,1.779778,0.019657
76,adam,1.799721,0.019944
77,adam,1.818432,0.01871
78,adam,1.837668,0.019236
79,adam,1.856946,0.019278
80,adam,1.876513,0.019568
81,adam,1.895502,0.018988
82,adam,1.91573,0.020228
83,adam,1.935803,0.020074
84,adam,1.954496,0.018692
85,adam,1.973114,0.018619
86,adam,1.992821,0.019706
87,adam,2.011836,0.019016
88,adam,2.030456,0.01862
89,adam,2.049126,0.01867
90,adam,2.067616,0.01849
91,adam,2.08683,0.019215
92,adam,2.106469,0.019639
93,adam,2.12553,0.019061
94,adam,2.143912,0.018382
95,adam,2.16327,0.019357
96,adam,2.181826,0.018556
97,adam,2.200613,0.018788
98,adam,2.219682,0.019069
99,adam,2.238185,0.018503
100,adam,2.256704,0.018519
101,adam,2.275181,0.018477
102,adam,2.294493,0.019312
103,adam,2.313617,0.019123
104,adam,2.333246,0.019629
105,adam,2.351641,0.018395
106,adam,2.370438,0.018797
107,adam,2.390794,0.020357
108,adam,2.410635,0.01984
109,adam,2.430388,0.019754
110,adam,2.449457,0.019069
111,adam,2.4691,0.019643
112,adam,2.487957,0.018856
113,adam,2.508922,0.020965
114,adam,2.529405,0.020483
115,adam,2.549006,0.019601
116,adam,2.56864,0.019633
117,adam,2.588383,0.019743
118,adam,2.606879,0.018496
119,adam,2.625719,0.01884
120,adam,2.645866,0.020148
121,adam,2.666567,0.0207
122,adam,2.687687,0.021121
123,adam,2.708119,0.020432
124,adam,2.727152,0.019033
125,adam,2.746849,0.019697
126,adam,2.766318,0.019468
127,adam,2.786401,0.020084
128,adam,2.804871,0.01847
129,adam,2.823594,0.018723
130,adam,2.843298,0.019705
131,adam,2.862569,0.019271
132,adam,2.881413,0.018844
133,adam,2.914526,0.033113
134,adam,2.957127,0.042601
135,adam,2.983314,0.026187
136,adam,3.000948,0.017634
137,adam,3.020492,0.019544
138,adam,3.038569,0.018077
139,adam,3.055929,0.017359
140,adam,3.073567,0.017638
141,adam,3.091424,0.017856
142,adam,3.109472,0.018049
143,adam,3.12778,0.018308
144,adam,3.14621,0.01843
145,adam,3.164975,0.018765
146,adam,3.184191,0.019215
